업종(대),업종(중),상호,매출액,매출액증가율
외식,,(주)팀브로,"715,773",산출불가
외식,,(주)금표에프앤디,"713,007",22.19%
외식,,칠공공비어(주),"710,802",-22.24%
외식,,(주)에프엠투,"707,070",-25.26%
외식,,(주)제이비에프씨,"700,906",-16.14%
외식,,(주)쌈촌패밀리,"698,259",-32.01%
외식,,엠투(M2)컴퍼니,"696,727",-9.20%
외식,,보드레족,"696,307",-6.29%
외식,,행복한가족(주),"695,672","27,660.26%"
외식,,아미코팜(주)농업회사법인,"693,754",164.52%
외식,,다옴에프엠에스(주),"692,594",175.64%
외식,,(주)오백미라클,"685,298",-28.59%
외식,,쭈꾸미도사,"683,780",145.76%
외식,,(주)푸드맵,"680,455",146.62%
외식,,고려홍삼삼계탕,"680,386",-3.43%
외식,,더다함감자탕,"673,083",5.31%
외식,,정가네신성아구찜,"672,906",10.57%
외식,,(주)와이케이푸드,"672,828",29.98%
외식,,(주)대자푸드,"669,908",-3.37%
외식,,홍초불닭발(인천점),"669,649",19.14%
외식,,가장맛있는족발족과의동침,"664,187",-1.55%
외식,,(주)일오,"663,751",1.42%
외식,,작렬곱창,"660,509",-6.64%
외식,,(주)모컴테크,"658,157",-10.69%
외식,,천상대게,"658,067",18.67%
외식,,찰만f&c,"655,572",153.01%
외식,,(주)자박에프엔비,"646,370","1,442.21%"
외식,,(주)가마실푸드,"645,586",44.29%
외식,,(주)채정,"645,569",산출불가
외식,,개인화로한우전문미소,"643,242",13.82%
외식,,돼지집딸,"642,157",-17.10%
외식,,방가삼대,"639,574",8.20%
외식,,(주)동원기업,"638,662",3.46%
외식,,종로푸드시스템(주),"637,208",-49.41%
외식,,족발쌀롱,"634,757",-0.87%
외식,,버섯잔치집,"632,229",-5.90%
외식,,(주)마마에프앤비,"630,438",-11.14%
외식,,(주)신정푸드,"630,434",-7.97%
외식,,임가네해물촌,"627,381",-4.85%
외식,,(주)디아이디코리아,"627,274",241.52%
외식,,(주)모두가족,"623,828",3.56%
외식,,(주)영하,"622,649",산출불가
외식,,따봉시래기,"621,375",43.55%
외식,,(주)우림에프씨,"618,983",-36.08%
외식,,명장복집,"616,852",-9.72%
외식,,오리궁뎅이,"610,728",4.96%
외식,,오투닭갈비,"608,289",9.37%
외식,,(주)해늘,"605,585",31.00%
외식,,(주)팀스카이,"603,958",243.48%
외식,,잘키운국내산청정돼지,"599,477",78.20%
외식,,고기와국수이야기,"597,850",-6.88%
외식,,가득찬푸드,"597,517",-11.92%
외식,,씨에이치푸드,"595,197",-31.85%
외식,,(주)조선팔도,"587,458",12.27%
외식,,예령산업,"583,733",859.69%
외식,,(주)한양에이치앤피,"576,341",47.03%
외식,,더족푸드,"561,465",-6.01%
외식,,(주)엠푸드,"560,355",69.62%
외식,,서남시장김실장왕족발,"558,526",31.80%
외식,,(유)엔에스플랫폼컴퍼니,"556,614","6,285.38%"
외식,,(주)태인에프앤비,"555,485",산출불가
외식,,(주)쭈소반,"554,120",산출불가
외식,,터진만두,"552,461",9.88%
외식,,거성푸드(주),"545,297",-13.09%
외식,,(주)알에스푸드빌,"544,573",-26.89%
외식,,토리고야패밀리(주),"542,501",-42.82%
외식,,그남자의돼지갈비,"541,510",산출불가
