브랜드,상호,창업비용
골드쉘,(주)한국금거래소쓰리엠,"75,000
(0.54)"
농협홀푸드,(주)농협홍삼,"74,700
(0.54)"
내맘대로폰케이스,(주)더만듦,"74,600
(0.53)"
지담아요(GDAMAYO),(주)담아요,"74,600
(0.53)"
참다한홍삼,(주)지씨바이오,"73,988
(0.53)"
반지더하기,(주)더만듦,"73,500
(0.53)"
판도라,(주)메가마트,"73,500
(0.53)"
비타본(VITABON),(주)비타본,"73,400
(0.53)"
위니비니,위니비니코리아(주),"72,700
(0.52)"
중고나라,(주)중고나라,"71,470
(0.51)"
두툼이생고기,두투미푸드,"68,700
(0.49)"
생활방역의시작 와사비안카페,(주)브니엘월드,"66,800
(0.48)"
PRABEAN,(주)프라빈,"66,500
(0.48)"
모닝글로리,(주)모닝글로리,"65,300
(0.47)"
굿포유(Good for you),(주)다옴케이,"65,000
(0.47)"
떡보의하루,(주)떡파는사람들,"65,000
(0.47)"
섹시큐브,(주)미래의공간,"64,900
(0.47)"
국선생,(주)홈스푸드,"64,700
(0.46)"
부뚜막애순두부,정진에프엔비(F&B),"64,350
(0.46)"
렌즈베리,(주)렌즈베리,"64,350
(0.46)"
크린디포,크린디포,"63,300
(0.45)"
내맘대로다꾸다꾸,(주)더만듦,"62,500
(0.45)"
건담빌,더캠트사업본부,"62,172
(0.45)"
오레시피,(주)도들샘,"61,730
(0.44)"
커버스토리,(주)이오피스코리아,"60,800
(0.44)"
중고폰 브라더스,행복미디어,"60,720
(0.44)"
전국열쇠공사,(주)전국열쇠공사,"59,530
(0.43)"
토이강정,(주)인왕,"58,100
(0.42)"
오독오독,(주)오독오독,"58,100
(0.42)"
은가비,(주)은빛,"57,650
(0.41)"
달달상자,달달상자,"56,820
(0.41)"
설탕텔레콤,(주)평강솔루션,"56,300
(0.40)"
푸르맘찬,농업회사법인(주)푸르맘찬,"56,100
(0.40)"
폰스타일,(주)폰스타일,"55,900
(0.40)"
요미독,(주)펫펏,"54,880
(0.39)"
TV&TV(티비앤티비),(주)티비앤티비바이오,"54,250
(0.39)"
클리어창,(유)클리어창,"53,500
(0.38)"
티케,(주)성박,"51,080
(0.37)"
"그날, 간식","그날,간식","50,400
(0.36)"
공찬,(주)이음글로비즈,"50,300
(0.36)"
아이캔비어,아이캔비어,"50,200
(0.36)"
쑥뜸명가코리아,(주)쑥뜸명가코리아,"49,970
(0.36)"
학사농장,영농조합법인학사농장,"49,830
(0.36)"
스마트폰면세점,스마트폰면세점,"49,157
(0.35)"
제노아트,제노F&C,"48,890
(0.35)"
통구 지하철알뜰폰,(주)통구,"47,950
(0.34)"
오렌지팟,에프지파아란,"46,420
(0.33)"
족발슈퍼,제이케이컴퍼니,"45,540
(0.33)"
위드어썸,숟가락젓가락들고위드어썸,"45,100
(0.32)"
롤로 토바코 샵,원앤유컴퍼니(주),"44,995
(0.32)"
에어바이킹,(주)에어바이킹,"44,600
(0.32)"
반지대학,기쁜소리컴퍼니,"44,100
(0.32)"
튀봉이의 뻥튀기공작소,(주)진성앤푸드원,"42,820
(0.31)"
맥아더무인할인마트,맥아더마트,"40,600
(0.29)"
소녀폰중고폰,(주)케이에이씨,"40,500
(0.29)"
아담하다(A:DAMHADA),아담하다,"39,960
(0.29)"
LOOK STORE,(주)룩스토어안경체인,"39,600
(0.28)"
이끌림,청농팜(주),"39,400
(0.28)"
애플몽키,애플몽키,"37,200
(0.27)"
과일을 담다,과일을담다,"37,100
(0.27)"
블랙샤인,블랙샤인명동본점,"36,600
(0.26)"
함지박,해닮,"36,500
(0.26)"
썬라이더(SUNRIDER),썬라이더코리아(주),"36,072
(0.26)"
명동김치,명동김치,"35,800
(0.26)"
까까주까,(주)아이스타,"35,396
(0.25)"
유킹,(주)유킹,"35,050
(0.25)"
폰사닷컴,(주)성화컴퍼니,"34,150
(0.24)"
찡어쌀롱,찡어쌀롱,"34,077
(0.24)"
봉구의간식,(주)한군컴퍼니,"33,350
(0.24)"
콰드로에이치,(주)로얄그린,"33,000
(0.24)"
그램벌룬(gramballoon),그램벌룬,"32,230
(0.23)"
맛샘,(주)맛샘,"32,150
(0.23)"
스타베이프(star vape),(주)드림라이너,"30,750
(0.22)"
코코래빗,코코래빗,"30,140
(0.22)"
아이스홀릭,보이스펙토리,"29,050
(0.21)"
두가지떡볶이,두가지컴퍼니,"29,000
(0.21)"
펫그램,펫그램,"28,960
(0.21)"
착한아이스크림 할인점,(주)착한유통,"28,400
(0.20)"
도깨비냉장고 아이스크림할인점,도깨비냉장고아이스크림할인점본점,"28,050
(0.20)"
에이엠스쿨,에이엠스쿨,"26,650
(0.19)"
현미박사누룽지,(주)보광유니온,"26,000
(0.19)"
건축자재 & 門 편의점,건축자재&門편의점,"25,850
(0.19)"
풀무원샘물,풀무원샘물(주),"25,000
(0.18)"
풀무원로하스,풀무원건강생활(주),"20,000
(0.14)"
노마진아이스크림할인점,노마진유통,"19,600
(0.14)"
헬로앨리스마켓24,(주)모숨리테일,"18,034
(0.13)"
헤나킹,(주)자연가득,"17,725
(0.13)"
토이플러스,오로라월드(주),"17,700
(0.13)"
THE달달,(주)트러스트,"17,600
(0.13)"
가로세로블라인드(GAROSEROBLINDS),(주)리코블라인드,"16,600
(0.12)"
굿샵,(주)굿샵,"16,000
(0.11)"
수재샵,(주)수재,"15,850
(0.11)"
풀무원녹즙,㈜풀무원녹즙,"15,500
(0.11)"
꽃블리,블리컴퍼니,"11,110
(0.08)"
꿈을만드는공방,위클리컨셉,"9,959
(0.07)"
맥아더마트,맥아더,"6,300
(0.05)"
바이셀폰,바이셀폰,"3,300
(0.02)"
엔진마을,엔진마을,"3,300
(0.02)"
가위이야기,(주)가위이야기,"2,750
(0.02)"
플다몰,(주)플로드,"1,100
(0.01)"
