업종(대),업종(중),브랜드,상호,가맹사업 개시일,가맹사업 년수
,,알티오라,(주)러닝앤코,2018-01-24,2년  11개월
,,블럭파티plus,(주)골든스트릿,2014-11-05,6년  1개월
,,크리아트,(주)크리아트,2013-03-13,7년  9개월
,,홍앤아트,(주)홍익비젼미술,2009-03-01,11년  9개월
,,포인트정석속독,(주)피알에스창의독서개발원,2005-12-07,15년  0개월
,,그린섬미술학원,(주)그린섬,2007-02-01,13년  10개월
,,쿤스트(Kunst),(주)쿤스트,2011-12-02,9년  0개월
,,마마몽떼(Mamamonte),마마몽떼(주),2018-02-26,2년  10개월
,,아뜰리에뷰티아카데미,(주)비즈통상,2010-11-20,10년  1개월
,,mbc아카데미뷰티학원,(주)뷰티르샤,2003-06-13,17년  6개월
,,키즈스피치마루지,(주)에스앤브이,2012-04-05,8년  8개월
,,브레인아트,브레인아트,2012-02-01,8년  10개월
,,케이에이지이영재심화교실,한국영재교육학술원(주),1995-01-11,25년  11개월
,,밸런스브레인,(주)편두리,2012-09-20,8년  3개월
,,딩딩딩뮤직스쿨,(주)코앤코,2017-11-16,3년  1개월
,,스콜라 몬테소리,(주)스콜라몬테소리,2016-11-28,4년  1개월
,,위버지니어스,(주)미래엔에듀케어,2007-04-01,13년  8개월
,,뮤앤무오르프,(주)뮤앤무,2009-11-03,11년  1개월
,,스콜라 몬테소리,(주)스콜라몬테소리,2016-11-28,4년  1개월
,,한솔교육플라톤지사,(주)한솔교육,2001-01-02,19년  11개월
,,한솔교육한글지사,(주)한솔교육,2001-01-02,19년  11개월
,,오르피아,(주)뮤앤무,2017-01-10,3년  11개월
,,프리미어 뮤직(Premier Music),(주)프리미어에듀케이션,2018-01-02,2년  11개월
,,승리마루태권도,승리마루태권도장,2015-12-01,5년  0개월
,,케이에이지이영재교육학술원연구실,한국영재교육학술원(주),1996-07-01,24년  5개월
,,아트파이브,(주)아트체어,2010-05-07,10년  7개월
,,헬렌의마르세이유,(주)헬렌앤제이,2018-11-01,2년  1개월
,,지트,(주)지트에듀텍엔드네트워크,2010-05-17,10년  7개월
,,소리노리(SORINORI),(주)소리노리,2018-08-20,2년  4개월
,,분더바움,분더교육,2011-05-30,9년  7개월
,,이루미독서논술,(주)이루미에듀테크,2003-11-18,17년  1개월
,,그린컴퓨터아트학원,(주)지아이티아카데미,2010-07-20,10년  5개월
,,마이퍼스트뮤직,마이퍼스트뮤직,2013-10-31,7년  2개월
,,유피학습,(주)유피교육,2009-01-01,11년  11개월
,,탑코딩에듀,(주)에이치비(HB)네트워크,2018-02-01,2년  10개월
,,고수의 운전면허,(주)제이에프파트너스,2019-07-01,1년  5개월
,,주니퍼실용음악학원,(주)주니퍼아이엔씨,2005-02-15,15년  10개월
,,책읽는미술관,(주)책읽는미술관,2017-10-24,3년  2개월
,,하늘을나는그림책,(주)심정민융합교육연구소,2015-09-01,5년  3개월
,,아이디어트리,한국영재교육학술원(주),2014-10-01,6년  2개월
,,피아노리브레,(주)피아노리브레,2014-02-28,6년  10개월
,,포슬린페인팅Art스쿨(KPAS),포슬린페인팅아트(Art)스쿨,2009-08-01,11년  4개월
,,꽃이야 나무야,꽃이야나무야,2018-08-01,2년  4개월
,,집중소,(주)인힘,2018-05-09,2년  7개월
,,지니위니,지니위니,2009-01-03,11년  11개월
,,토즈스터디랩,(주)피투피시스템즈,2019-05-12,1년  7개월
,,키즈스피치예소스,키즈스피치예소스학원,2016-07-23,4년  5개월
,,마이퍼스트 오감놀이터,마이퍼스트뮤직,2018-08-16,2년  4개월
,,브레인나우(BRAINNOW),(주)스칸디에듀,2018-07-30,2년  5개월
,,플래뮤 아트 라이브러리,(주)플래뮤에듀랩,2018-02-05,2년  10개월
,,합격독서실,(주)라움코리아,2018-02-01,2년  10개월
,,도도아카데미,(주)소풍엔,2012-12-01,8년  0개월
,,아티스(Arty's),늘꿈아티스,2015-07-01,5년  5개월
,,153셀라음악학원,셀라2음악학원,2018-03-25,2년  9개월
,,아이잼,(주)아이잼,2005-10-27,15년  2개월
,,나나스피치,나나에듀,2017-09-10,3년  3개월
,,렌쥴리킨더,(주)렌쥴리에듀테인먼트,2017-01-06,3년  11개월
,,쥬트아뜰리에,수리앤코(주),2017-02-01,3년  10개월
,,플레이코딩아카데미(PCA),(주)플레이코딩아카데미,2017-06-01,3년  6개월
,,작업실(Zacup실),윌비아트앤매니지먼트(주),2015-04-01,5년  8개월
,,패스트랙키즈(FasTracKids),(주)맥스교육,2013-01-30,7년  11개월
,,KBS아트비전 미용학원,(주)케이비아트,2017-02-01,3년  10개월
,,씽씽놀이터,씽씽놀이터,2017-04-25,3년  8개월
,,로봇과학클럽,한국로봇과학교육협동조합,2015-12-01,5년  0개월
,,맛있는스피치,아나운서(주),2013-01-31,7년  11개월
,,블루닷라운지,(주)크리플레이,2019-04-01,1년  8개월
,,노블리즈 뷰티아카데미,(주)와이즈뷰티테인먼트,2017-04-20,3년  8개월
,,6센스플러스,6센스플러스,2016-03-02,4년  9개월
,,버터비(Butterbe),버터비베이킹스튜디오,2019-04-25,1년  8개월
,,미미살롱,미미살롱,2017-11-11,3년  1개월
,,마스터플랜,(주)놀숲,2019-12-06,1년  0개월
,,쿠겔,쿠겔호르트,2014-01-01,6년  11개월
,,키키공방,(주)다솔코리아,2019-11-06,1년  1개월
,,가치인 독서논술&디베이트,가치인독서논술&디베이트,2019-12-05,1년  0개월
,,워너비뷰티아카데미,(주)워너비코퍼레이션,2018-09-01,2년  3개월
,,쁘리몬테,(주)스콜라몬테소리,2019-02-25,1년  10개월
,,쁘리몬테,(주)스콜라몬테소리,2019-02-25,1년  10개월
,,책과그림숲,책과그림숲,2014-06-01,6년  6개월
,,에프2엠지글로벌뷰티아카데미(F2MG글로벌뷰티아카데미),(주)에프2엠지글로벌뷰티아카데미,2017-11-01,3년  1개월
,,베베구쯔몬테소리,베베구쯔(주),2019-10-25,1년  2개월
,,킨더슐레,(주)프렌비,2011-11-10,9년  1개월
,,에이원민턴,(주)에이원민턴,2019-09-30,1년  3개월
