업종(대),업종(중),브랜드,상호,가맹사업 개시일,가맹사업 년수
,,봄소리산후도우미,봄소리산후도우미,2016-10-01,4년  2개월
,,작심스페이스,(주)아이엔지스토리,2018-04-11,2년  8개월
,,캔두스터디카페,캔두스터디카페가맹사업점,2019-09-08,1년  3개월
,,웰킨두피탈모센터,(주)코비스타,2006-06-22,14년  6개월
,,아띠앙쥬(ATTIANGE),(주)아이윈,2017-06-26,3년  6개월
,,슬라임 팡팡,(주)착한유통,2019-01-01,1년  11개월
,,이룸스터디카페,(주)이룸센터,--,0년  0개월
,,드론군단아카데미,드론군단협동조합,--,0년  0개월
,,가방수선하는남자,가방수선하는남자,--,0년  0개월
,,수피아벌룬,수피아벌룬,--,0년  0개월
,,국민로또,(주)국민네트웍스,2020-04-06,0년  8개월
,,파티수,파티수,2018-08-25,2년  4개월
,,휴먼디자인,에이치디건설협동조합,--,0년  0개월
,,별하라운지,(주)별하,--,0년  0개월
,,오리진스터디카페24,(주)선디자인팩토리,--,0년  0개월
,,스페이스 샘,샘랩(주),--,0년  0개월
,,배달커피,(주)비디컴퍼니,--,0년  0개월
,,더베스트,㈜더베스트,--,0년  0개월
,,더킹 스터디카페(THE KING STUDY CAFE),(주)티앤지에프씨,2020-11-30,0년  1개월
,,바이이연,이연,--,0년  0개월
,,십리향,풍(십리향),--,0년  0개월
,,아리랑아구찜,에이와이푸드,--,0년  0개월
,,북앤빅뱅,북앤빅뱅(주),2014-04-21,6년  8개월
,,딜웨이 키즈라이더,(주)딜웨이홀딩스,--,0년  0개월
,,다짐,덴포스타,2017-04-18,3년  8개월
,,드론군단,프리헬리캠,2018-03-25,2년  9개월
,,로웰클래스,(주)지알씨앤비인터내셔널,2020-05-21,0년  7개월
,,코코리(COCORY),(주)코코리색채연구소,--,0년  0개월
,,에코퓨리,(주)상상한자리,2020-04-21,0년  8개월
,,리 에스테틱,리에스테틱&스파,--,0년  0개월
,,바소카페,바소,--,0년  0개월
,,골프N커스텀,(주)커스텀엑스,2020-03-19,0년  9개월
,,스터디 위드,(주)위드,--,0년  0개월
,,쇼쿠지,(주)이움,--,0년  0개월
,,신선식탁,(주)신선식탁,--,0년  0개월
,,올라스터디카페,(주)올라,--,0년  0개월
,,심쿵피어싱,심쿵피어싱,--,0년  0개월
,,리틀 뮤아센,(주)아임갤러리,--,0년  0개월
,,이루리디자인연구소,이루리한복,2016-08-01,4년  4개월
,,티앤북스(TEANBOOKS),(주)플랜비커뮤니케이션,2016-06-17,4년  6개월
,,메리메이드,(주)메리메이드코리아,2020-04-29,0년  8개월
,,다다르다,(주)다다르다,--,0년  0개월
,,열공다방스터디카페,(주)헤이제이,--,0년  0개월
,,올라라이브러리(holalibrary),(주)올라라이브러리,--,0년  0개월
,,독고,(주)한음,--,0년  0개월
,,카카오T골드(kakaoTgold),(주)케이엠솔루션,--,0년  0개월
,,엠브레스 마인드 심리상담센터,(주)엠브레스심리연구소,2020-01-01,0년  11개월
,,예스홈,(주)예솜,--,0년  0개월
,,행복한요양원,(주)실버킹,2015-01-14,5년  11개월
,,이사시대,㈜이사시대,2019-06-01,1년  6개월
,,퍼스트클레스,(주)더퍼스트클레스,2016-05-01,4년  7개월
,,"파티, 하라","파티,하라",--,0년  0개월
,,디바인핸즈,디바인핸즈,2017-09-20,3년  3개월
,,히어로키즈파크,(주)히어로키즈파크,2017-06-02,3년  6개월
,,디엘 프렌즈(diel friends),(주)디엘홀딩스,--,0년  0개월
,,바니슬라임,멜랑바니,--,0년  0개월
,,스크린만화방,(주)모컴테크,--,0년  0개월
,,트리플에이커피,(주)트리플컴퍼니,--,0년  0개월
,,반딧불이 홈케어 서비스,(주)이지코퍼레이션,--,0년  0개월
,,푼양이김치찌개,피와이아이푸드,--,0년  0개월
,,우리로또,(주)국민네트웍스,--,0년  0개월
,,미가람스터디카페,(주)목경,2020-02-13,0년  10개월
,,피자스톰,이엠씨에프앤비,--,0년  0개월
,,하임공방,하임공방,--,0년  0개월
,,플랜에이치헤어,플랜에이치,--,0년  0개월
,,반딧불이,(주)이지코퍼레이션,2005-07-05,15년  5개월
,,셰프와친구들,(주)나은솔루션,2020-04-20,0년  8개월
,,프로터치,제일종합관리서비스(주),2020-01-01,0년  11개월
,,빽씬(Bagthin),파파애드,--,0년  0개월
,,에듀하임,넥스큐브코퍼레이션(주),2020-06-18,0년  6개월
,,온맘터치요양원,온맘터치협동조합,--,0년  0개월
,,에이지너리14,(주)심플맨,--,0년  0개월
,,에이치모바일,(주)에이치,--,0년  0개월
,,바콤119,(주)바콤,--,0년  0개월
,,아침의 부엌,아침의부엌,--,0년  0개월
,,프린트카페(Print cafe),(주)잉크와오피스,--,0년  0개월
,,빨간거 짱구네 하얀거,레시피랩짱구,--,0년  0개월
,,비지팅엔젤스요양시설,(주)비지팅엔젤스코리아,2016-04-01,4년  8개월
,,카페24창업센터,카페24(주),2011-10-20,9년  2개월
,,빅뱅,북앤빅뱅(주),2000-04-28,20년  8개월
,,허그맘허그인,(주)허그맘허그인심리상담센터,2012-10-01,8년  2개월
,,아카데미라운지,아카데미라운지(주),2015-06-13,5년  6개월
,,만화카페 벌툰,(주)아이센스에프앤비,2016-06-21,4년  6개월
,,중장비통,(주)동창인프라휴먼,--,0년  0개월
,,멜랑바니,멜랑바니,2019-01-10,1년  11개월
,,머니박스(MoneyBox),(주)머니박스,--,0년  0개월
,,온맘터치 방문요양,온맘터치협동조합,2019-10-15,1년  2개월
,,살롱드비숑,비손비격,--,0년  0개월
,,벨라비타,벨라비타(주),--,0년  0개월
,,젤리죔죔,(주)씨와이에프앤씨,2020-04-03,0년  8개월
,,카피카피룸룸,서울디지털인쇄협동조합,2019-04-01,1년  8개월
,,쉬운 운동〔Medi&Healing〕P.T Club,요가,--,0년  0개월
,,홈버틀러,(주)통인에이치앤씨,2019-02-01,1년  10개월
,,노벨스터디카페,(주)포메이션투,2020-04-29,0년  8개월
,,거북이의기적,(주)거북이의기적,--,0년  0개월
,,셀독24스터디카페,(주)셀독24,2020-05-29,0년  7개월
,,벌룬프로젝트,(주)벌룬프로젝트스튜디오,--,0년  0개월
,,소마드로잉카페,(주)놀숲,--,0년  0개월
,,토즈스터디카페,(주)피투피시스템즈,2020-03-26,0년  9개월
,,지니24스터디카페,지니24스터디카페,--,0년  0개월
,,와이드스터디카페,와이드스터디카페,--,0년  0개월
,,프레쉬 스터디카페,(주)프레쉬,--,0년  0개월
,,벌레잡는 총각들,(주)벌레잡는총각들,2020-04-02,0년  8개월
,,우리두리아동발달센터,우리두리아동발달센터,--,0년  0개월
,,점프노리키즈카페,(주)아이윈엔터프라이즈,2013-04-12,7년  8개월
,,콩툰만화카페,(주)훌륭,2015-12-09,5년  0개월
,,오셀라스(OCELAS),(주)씨엠에이인터내셔널,2011-06-07,9년  6개월
,,크라이오존,(주)크라이오존,2018-10-10,2년  2개월
,,마더앤베이비,웰니스인텔리전스(주),2014-08-01,6년  4개월
,,GDF (지디에프),광주디자인협동조합,2014-05-26,6년  7개월
,,샤인나노케어,샤인나노,2020-01-01,0년  11개월
,,올더카,올더카,--,0년  0개월
,,공본스터디카페,(주)공본,--,0년  0개월
,,엔아르케(EN ARCHE),엔아르케스터디센터,2018-11-07,2년  1개월
,,다시옷,(주)살림,--,0년  0개월
,,머큐어(Mercure),(주)에이에이호텔매니지먼트,2012-05-22,8년  7개월
,,알지오,(주)알지오,2018-08-28,2년  4개월
,,포토이즘,포토이즘,--,0년  0개월
,,모컴 플렉스,(주)모컴테크,--,0년  0개월
,,하나방역,하나방역,--,0년  0개월
,,셀픽스(Selpix),지에스테크니컬,2020-04-27,0년  8개월
,,성공스터디카페,성공스터디카페,--,0년  0개월
,,비앤아이(BNI),(주)BNI코리아,--,0년  0개월
,,케어앤로 상담센터,(주)케어앤로,2020-07-13,0년  5개월
,,타다,브이씨엔씨(주),--,0년  0개월
,,박스풀(BOXFUL),(주)박스풀,--,0년  0개월
,,셀프와인,(주)정우인터내셔널,2006-03-05,14년  9개월
,,컴앤픽스,인터베이스,2009-11-30,11년  1개월
,,크리니트,(주)크리니트,2003-10-01,17년  2개월
,,힐앤힐(HILL&HEEL),(주)힐앤힐,2015-07-29,5년  5개월
,,바짝,티디아이(주),2018-01-11,2년  11개월
,,스터디카페 반(Vän),(주)스페이스반,--,0년  0개월
,,아하데이스파(AHA DAY S.P.A.),(주)아하웰니스,--,0년  0개월
,,HENZ music studio(헨즈뮤직스튜디오),헨즈(HENZ),--,0년  0개월
,,영영키친,(주)영영키친,--,0년  0개월
,,그레이슈가링,그레이슈가링,--,0년  0개월
,,데일리스터디카페,(주)데일리스페이스,--,0년  0개월
,,닥터스케일,와우인터내셔널(닥터스케일),--,0년  0개월
,,기본스터디카페,(주)트리시스,--,0년  0개월
,,따르릉,(주)따르릉통신,--,0년  0개월
,,큐룸,상생,--,0년  0개월
,,게이트 스터디카페(Gate Study Cafe),(주)팀에프지,--,0년  0개월
,,온맘터치 주야간보호센터,온맘터치협동조합,--,0년  0개월
,,빛나 스터디카페,(주)글로리어스,--,0년  0개월
,,솔로크린(solo clean),위드프랜차이즈,--,0년  0개월
,,아띠,아띠,--,0년  0개월
