업종(대),업종(중),브랜드,상호,가맹사업 개시일,가맹사업 년수
,,튀봉이의 뻥튀기공작소,(주)진성앤푸드원,2019-07-28,1년  5개월
,,제노아트,제노F&C,2012-01-20,8년  11개월
,,아트박스(ARTBOX),(주)아트박스,1986-06-14,34년  6개월
,,폰스타일,(주)폰스타일,2009-09-01,11년  3개월
,,쉐프엠,(주)엠디에스코리아,2017-05-01,3년  7개월
,,요미독,(주)펫펏,2020-04-23,0년  8개월
,,족발슈퍼,제이케이컴퍼니,2019-06-11,1년  6개월
,,PRABEAN,(주)프라빈,2013-01-24,7년  11개월
,,두가지떡볶이,두가지컴퍼니,2019-03-09,1년  9개월
,,두툼이생고기,두투미푸드,2018-03-01,2년  9개월
,,버드소리,(주)바름,2018-07-20,2년  5개월
,,봉구의간식,(주)한군컴퍼니,2017-11-25,3년  1개월
,,커버박스,(주)커버박스,2018-11-01,2년  1개월
,,맘스맘,(주)맘스맘,2013-08-29,7년  4개월
,,맛샘,(주)맛샘,2017-01-20,3년  11개월
,,캔들나무,(주)홍일,2013-10-05,7년  2개월
,,LOOK STORE,(주)룩스토어안경체인,2013-01-21,7년  11개월
,,커버스토리,(주)이오피스코리아,2011-10-26,9년  2개월
,,펫월드,(주)AL네트웍스,2014-08-01,6년  4개월
,,반지더하기,(주)더만듦,2016-02-27,4년  10개월
,,벤자민무어페인트(Benjamin Moore Paints),한국벤자민무어페인트(주),2015-01-05,5년  11개월
,,중고폰 브라더스,행복미디어,2015-09-15,5년  3개월
,,과일을 담다,과일을담다,2018-06-07,2년  6개월
,,푸르맘찬,농업회사법인(주)푸르맘찬,2013-09-02,7년  3개월
,,폰사닷컴,(주)성화컴퍼니,2014-08-13,6년  4개월
,,토이아울렛,(주)포유키즈,2011-12-09,9년  0개월
,,부뚜막애순두부,정진에프엔비(F&B),2017-08-01,3년  4개월
,,펍큐(PUBCUE),(주)라이또에프앤씨,2019-06-26,1년  6개월
,,판도라,(주)메가마트,2011-10-24,9년  2개월
,,한토이,(주)한국토이즈,2011-10-20,9년  2개월
,,위니비니,위니비니코리아(주),2014-06-01,6년  6개월
,,아담하다(A:DAMHADA),아담하다,2018-11-20,2년  1개월
,,앵거스박(Anguspark),(주)피엠플레이스,2018-01-01,2년  11개월
,,스타베이프(star vape),(주)드림라이너,2019-07-21,1년  5개월
,,이끌림,청농팜(주),2011-11-01,9년  1개월
,,앵거스박(Anguspark),(주)피엠플레이스,2018-01-01,2년  11개월
,,반지대학,기쁜소리컴퍼니,2014-09-18,6년  3개월
,,반조애(VANZOE),(주)더셀렉티브,2018-05-04,2년  7개월
,,데일리와인,(주)데일리마켓,2018-01-05,2년  11개월
,,나나니스캔디,스윗드림,2015-07-30,5년  5개월
,,더펫(The Pet),(주)티피코리아,2017-01-01,3년  11개월
,,빙고샵,(주)에스디푸드빙고샵,2017-09-19,3년  3개월
