브랜드,상호,창업비용
창을 내겠소,(유)엔에스플랫폼컴퍼니,"156,200
(0.50)"
라라감자탕,라라,"156,200
(0.50)"
두남자찜닭,(주)두남자컴퍼니,"155,300
(0.50)"
이도춘양,(주)이도상점,"154,600
(0.50)"
조마루감자탕,(주)조마루,"154,478
(0.50)"
아구킹,(주)바른에프앤디,"154,000
(0.50)"
햇잎갈비,햇잎푸드(주),"153,500
(0.50)"
바담코다리네,(주)바담,"152,319
(0.49)"
바담코다리네,(주)바담,"152,319
(0.49)"
한티재,한티재,"151,600
(0.49)"
봉화산 설렁탕 전문점,(주)봉화산푸드,"151,600
(0.49)"
도시수산시장,(주)디딤,"151,564
(0.49)"
대패만,찰만f&c,"151,500
(0.49)"
자연고구마순감자탕,자연감자탕,"151,300
(0.49)"
해안식당,(주)다누,"151,300
(0.49)"
돈희극,더블유doubleu에프앤비,"151,300
(0.49)"
손찬,㈜손찬,"150,600
(0.49)"
오남매 감자탕,(주)오남매푸드,"150,400
(0.49)"
김혜경 제주항통갈치,제주항통칼치,"150,200
(0.48)"
대패갑1900,화꾸소흑도새기,"150,200
(0.48)"
숨쉬는 순두부,(주)에스앤에스숨,"150,130
(0.48)"
삼겹식당,삼겹식당,"150,050
(0.48)"
수촌마을,수촌마을체인본부,"150,000
(0.48)"
화통 500 ℃,더화통,"149,972
(0.48)"
한상차림 코다리명가,(주)한상차림코다리명가,"149,820
(0.48)"
순흥골,(주)델리앤,"149,370
(0.48)"
사재감참숯왕소금구이,(주)사재감,"149,300
(0.48)"
신미경정통춘천닭갈비,정통춘천닭갈비,"149,300
(0.48)"
한촌설렁탕,(주)이연에프엔씨,"149,100
(0.48)"
어구미,제이엠인터내셔널(주),"148,200
(0.48)"
남도애꽃,(주)남도애꽃,"148,050
(0.48)"
샤브담,(주)지씨홀딩스,"147,750
(0.48)"
무한장소,(주)제이씨엠에프씨,"147,650
(0.48)"
성성식당,(주)더본코리아,"147,110
(0.47)"
안동국밥곰탕,케이엠에스,"147,000
(0.47)"
소고기아바이순대국,(주)빛솜푸드,"147,000
(0.47)"
황금코다리,(주)유니쉐프,"146,900
(0.47)"
소바애,소바애부천본점,"145,800
(0.47)"
두판닭갈비,윤미푸드,"145,750
(0.47)"
홍은이닭지그리,홍은이,"145,250
(0.47)"
거송갈비찜,(주)케이지컴퍼니,"145,080
(0.47)"
해논미역,해논산업1,"145,000
(0.47)"
明(명)가람갈비,(주)명가람푸드,"144,792
(0.47)"
어부의 밥상,(주)라온유통,"144,650
(0.47)"
삼훈국민생아구찜,(주)백경푸드시스템,"144,650
(0.47)"
삼육오 족발찜닭,(주)자연가득,"144,570
(0.47)"
반궁,(주)이랜드이츠,"144,312
(0.47)"
한길라갈비,(주)한길상회,"144,185
(0.47)"
황금명태본가,옥란식품,"144,000
(0.46)"
끝소,(주)에프씨봉대박,"143,800
(0.46)"
세영이네 보리굴비,(주)세영이네,"143,570
(0.46)"
육전국밥,(주)아라리,"143,550
(0.46)"
진고복식당,(주)풀잎채,"143,400
(0.46)"
청사월보리밥과쭈꾸미,(주)풀잎채,"142,800
(0.46)"
